"NAICS_Code","Industry","Emission_With_Margins","Diff_From_Avg","Emission_Rank"
562212,Solid Waste Landfill,10.98900032043457,10.603,1
327310,Cement Manufacturing,3.8580000400543213,3.472,2
112111,Beef Cattle Ranching and Farming,3.2980000972747803,2.912,3
112112,Cattle Feedlots,3.2980000972747803,2.912,3
112130,Dual-Purpose Cattle Ranching and Farming,3.2980000972747803,2.912,3
111130,Dry Pea and Bean Farming,3.006999969482422,2.621,4
111140,Wheat Farming,3.006999969482422,2.621,4
111150,Corn Farming,3.006999969482422,2.621,4
111160,Rice Farming,3.006999969482422,2.621,4
111191,Oilseed and Grain Combination Farming,3.006999969482422,2.621,4
111199,All Other Grain Farming,3.006999969482422,2.621,4
112120,Dairy Cattle and Milk Production,2.578000068664551,2.192,5
562213,Solid Waste Combustors and Incinerators,2.1659998893737793,1.78,6
325311,Nitrogenous Fertilizer Manufacturing,2.115000009536743,1.729,7
325312,Phosphatic Fertilizer Manufacturing,2.115000009536743,1.729,7
325314,Fertilizer (Mixing Only) Manufacturing,2.115000009536743,1.729,7
212111,Bituminous Coal and Lignite Surface Mining,2.0160000324249268,1.63,8
212112,Bituminous Coal Underground Mining,2.0160000324249268,1.63,8
212113,Anthracite Mining,2.0160000324249268,1.63,8
562211,Hazardous Waste Treatment and Disposal,1.7769999504089355,1.391,9
562112,Hazardous Waste Collection,1.7769999504089355,1.391,9
327410,Lime Manufacturing,1.7139999866485596,1.328,10
327420,Gypsum Product Manufacturing,1.7139999866485596,1.328,10
311221,Wet Corn Milling,1.6369999647140503,1.251,11
486110,Pipeline Transportation of Crude Oil,1.5579999685287476,1.172,12
486210,Pipeline Transportation of Natural Gas,1.5579999685287476,1.172,12
486910,Pipeline Transportation of Refined Petroleum Products,1.5579999685287476,1.172,12
486990,All Other Pipeline Transportation,1.5579999685287476,1.172,12
325193,Ethyl Alcohol Manufacturing,1.5099999904632568,1.124,13
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",1.5099999904632568,1.124,13
325199,All Other Basic Organic Chemical Manufacturing,1.5099999904632568,1.124,13
325120,Industrial Gas Manufacturing,1.4500000476837158,1.064,14
311211,Flour Milling,1.4479999542236328,1.062,15
311212,Rice Milling,1.4479999542236328,1.062,15
311213,Malt Manufacturing,1.4479999542236328,1.062,15
111910,Tobacco Farming,1.430999994277954,1.045,16
111920,Cotton Farming,1.430999994277954,1.045,16
111930,Sugarcane Farming,1.430999994277954,1.045,16
111940,Hay Farming,1.430999994277954,1.045,16
111991,Sugar Beet Farming,1.430999994277954,1.045,16
111992,Peanut Farming,1.430999994277954,1.045,16
111998,All Other Miscellaneous Crop Farming,1.430999994277954,1.045,16
331313,Alumina Refining and Primary Aluminum Production,1.409999966621399,1.024,17
325130,Synthetic Dye and Pigment Manufacturing,1.3819999694824219,0.996,18
112210,Hog and Pig Farming,1.375,0.989,19
112410,Sheep Farming,1.375,0.989,19
112420,Goat Farming,1.375,0.989,19
112511,Finfish Farming and Fish Hatcheries,1.375,0.989,19
112512,Shellfish Farming,1.375,0.989,19
112519,Other Aquaculture,1.375,0.989,19
112910,Apiculture,1.375,0.989,19
112920,Horses and Other Equine Production,1.375,0.989,19
112930,Fur-Bearing Animal and Rabbit Production,1.375,0.989,19
112990,All Other Animal Production,1.375,0.989,19
111110,Soybean Farming,1.3259999752044678,0.94,20
111120,Oilseed (except Soybean) Farming,1.3259999752044678,0.94,20
324121,Asphalt Paving Mixture and Block Manufacturing,1.3179999589920044,0.932,21
311611,Animal (except Poultry) Slaughtering,1.2790000438690186,0.893,22
311612,Meat Processed from Carcasses,1.2790000438690186,0.893,22
311613,Rendering and Meat Byproduct Processing,1.2790000438690186,0.893,22
311513,Cheese Manufacturing,1.2589999437332153,0.873,23
212210,Iron Ore Mining,1.2330000400543213,0.847,24
212221,Gold Ore Mining,1.2330000400543213,0.847,24
212222,Silver Ore Mining,1.2330000400543213,0.847,24
212291,Uranium-Radium-Vanadium Ore Mining,1.2330000400543213,0.847,24
212299,All Other Metal Ore Mining,1.2330000400543213,0.847,24
325110,Petrochemical Manufacturing,1.1970000267028809,0.811,25
112310,Chicken Egg Production,1.1710000038146973,0.785,26
112320,Broilers and Other Meat Type Chicken Production,1.1710000038146973,0.785,26
112330,Turkey Production,1.1710000038146973,0.785,26
112340,Poultry Hatcheries,1.1710000038146973,0.785,26
112390,Other Poultry Production,1.1710000038146973,0.785,26
212230,"Copper, Nickel, Lead, and Zinc Mining",1.1649999618530273,0.779,27
325212,Synthetic Rubber Manufacturing,1.1360000371932983,0.75,28
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,1.1360000371932983,0.75,28
325180,Other Basic Inorganic Chemical Manufacturing,1.1169999837875366,0.731,29
484110,"General Freight Trucking, Local",1.1150000095367432,0.729,30
484121,"General Freight Trucking, Long-Distance, Truckload",1.1150000095367432,0.729,30
484122,"General Freight Trucking, Long-Distance, Less Than Truckload",1.1150000095367432,0.729,30
484210,Used Household and Office Goods Moving,1.1150000095367432,0.729,30
484220,"Specialized Freight (except Used Goods) Trucking, Local",1.1150000095367432,0.729,30
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",1.1150000095367432,0.729,30
311224,Soybean and Other Oilseed Processing,1.090000033378601,0.704,31
325211,Plastics Material and Resin Manufacturing,1.0759999752044678,0.69,32
111411,Mushroom Production,1.0429999828338623,0.657,33
111419,Other Food Crops Grown Under Cover,1.0429999828338623,0.657,33
111421,Nursery and Tree Production,1.0429999828338623,0.657,33
111422,Floriculture Production,1.0429999828338623,0.657,33
311511,Fluid Milk Manufacturing,1.0390000343322754,0.653,34
311512,Creamery Butter Manufacturing,1.0390000343322754,0.653,34
331110,Iron and Steel Mills and Ferroalloy Manufacturing,0.9789999723434448,0.593,35
481111,Scheduled Passenger Air Transportation,0.9760000109672546,0.59,36
481112,Scheduled Freight Air Transportation,0.9760000109672546,0.59,36
481211,Nonscheduled Chartered Passenger Air Transportation,0.9760000109672546,0.59,36
481212,Nonscheduled Chartered Freight Air Transportation,0.9760000109672546,0.59,36
481219,Other Nonscheduled Air Transportation,0.9760000109672546,0.59,36
322110,Pulp Mills,0.9570000171661377,0.571,37
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",0.9459999799728394,0.56,38
324122,Asphalt Shingle and Coating Materials Manufacturing,0.9160000085830688,0.53,39
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",0.8690000176429749,0.483,40
331318,"Other Aluminum Rolling, Drawing, and Extruding",0.8690000176429749,0.483,40
324110,Petroleum Refineries,0.859000027179718,0.473,41
324191,Petroleum Lubricating Oil and Grease Manufacturing,0.8479999899864197,0.462,42
324199,All Other Petroleum and Coal Products Manufacturing,0.8479999899864197,0.462,42
313110,"Fiber, Yarn, and Thread Mills",0.8370000123977661,0.451,43
211120,Crude Petroleum Extraction,0.8299999833106995,0.444,44
211130,Natural Gas Extraction,0.8299999833106995,0.444,44
311119,Other Animal Food Manufacturing,0.8090000152587891,0.423,45
322130,Paperboard Mills,0.8029999732971191,0.417,46
325910,Printing Ink Manufacturing,0.7839999794960022,0.398,47
326160,Plastics Bottle Manufacturing,0.7829999923706055,0.397,48
311225,Fats and Oils Refining and Blending,0.7559999823570251,0.37,49
322121,Paper (except Newsprint) Mills,0.7369999885559082,0.351,50
322122,Newsprint Mills,0.7369999885559082,0.351,50
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",0.7179999947547913,0.332,51
311412,Frozen Specialty Food Manufacturing,0.7179999947547913,0.332,51
325520,Adhesive Manufacturing,0.7139999866485596,0.328,52
336370,Motor Vehicle Metal Stamping,0.7080000042915344,0.322,53
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,0.6949999928474426,0.309,54
212321,Construction Sand and Gravel Mining,0.6919999718666077,0.306,55
212322,Industrial Sand Mining,0.6919999718666077,0.306,55
212324,Kaolin and Ball Clay Mining,0.6919999718666077,0.306,55
212325,Clay and Ceramic and Refractory Minerals Mining,0.6919999718666077,0.306,55
212391,"Potash, Soda, and Borate Mineral Mining",0.6919999718666077,0.306,55
212392,Phosphate Rock Mining,0.6919999718666077,0.306,55
212393,Other Chemical and Fertilizer Mineral Mining,0.6919999718666077,0.306,55
212399,All Other Nonmetallic Mineral Mining,0.6919999718666077,0.306,55
327320,Ready-Mix Concrete Manufacturing,0.6869999766349792,0.301,56
332114,Custom Roll Forming,0.6729999780654907,0.287,57
221310,Water Supply and Irrigation Systems,0.6520000100135803,0.266,58
221320,Sewage Treatment Facilities,0.6520000100135803,0.266,58
221330,Steam and Air-Conditioning Supply,0.6520000100135803,0.266,58
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,0.6439999938011169,0.258,59
332111,Iron and Steel Forging,0.640999972820282,0.255,60
332112,Nonferrous Forging,0.640999972820282,0.255,60
332117,Powder Metallurgy Part Manufacturing,0.640999972820282,0.255,60
311615,Poultry Processing,0.6399999856948853,0.254,61
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",0.6399999856948853,0.254,61
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",0.6399999856948853,0.254,61
311520,Ice Cream and Frozen Dessert Manufacturing,0.6370000243186951,0.251,62
332431,Metal Can Manufacturing,0.6320000290870667,0.246,63
332439,Other Metal Container Manufacturing,0.6320000290870667,0.246,63
562119,Other Waste Collection,0.6320000290870667,0.246,63
562991,Septic Tank and Related Services,0.6320000290870667,0.246,63
562998,All Other Miscellaneous Waste Management Services,0.6320000290870667,0.246,63
562219,Other Nonhazardous Waste Treatment and Disposal,0.6320000290870667,0.246,63
221210,Natural Gas Distribution,0.6269999742507935,0.241,64
331523,Nonferrous Metal Die-Casting Foundries,0.6190000176429749,0.233,65
331524,Aluminum Foundries (except Die-Casting),0.6190000176429749,0.233,65
331529,Other Nonferrous Metal Foundries (except Die-Casting),0.6190000176429749,0.233,65
483111,Deep Sea Freight Transportation,0.6179999709129333,0.232,66
483112,Deep Sea Passenger Transportation,0.6179999709129333,0.232,66
483113,Coastal and Great Lakes Freight Transportation,0.6179999709129333,0.232,66
483114,Coastal and Great Lakes Passenger Transportation,0.6179999709129333,0.232,66
483211,Inland Water Freight Transportation,0.6179999709129333,0.232,66
483212,Inland Water Passenger Transportation,0.6179999709129333,0.232,66
326111,Plastics Bag and Pouch Manufacturing,0.6079999804496765,0.222,67
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,0.6079999804496765,0.222,67
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,0.6079999804496765,0.222,67
311991,Perishable Prepared Food Manufacturing,0.6029999852180481,0.217,68
311999,All Other Miscellaneous Food Manufacturing,0.6029999852180481,0.217,68
115111,Cotton Ginning,0.5910000205039978,0.205,69
115112,"Soil Preparation, Planting, and Cultivating",0.5910000205039978,0.205,69
115113,"Crop Harvesting, Primarily by Machine",0.5910000205039978,0.205,69
115114,Postharvest Crop Activities (except Cotton Ginning),0.5910000205039978,0.205,69
115115,Farm Labor Contractors and Crew Leaders,0.5910000205039978,0.205,69
115116,Farm Management Services,0.5910000205039978,0.205,69
115210,Support Activities for Animal Production,0.5910000205039978,0.205,69
115310,Support Activities for Forestry,0.5910000205039978,0.205,69
111211,Potato Farming,0.5879999995231628,0.202,70
111219,Other Vegetable (except Potato) and Melon Farming,0.5879999995231628,0.202,70
493110,General Warehousing and Storage,0.5680000185966492,0.182,71
493120,Refrigerated Warehousing and Storage,0.5680000185966492,0.182,71
493130,Farm Product Warehousing and Storage,0.5680000185966492,0.182,71
493190,Other Warehousing and Storage,0.5680000185966492,0.182,71
325920,Explosives Manufacturing,0.5669999718666077,0.181,72
325991,Custom Compounding of Purchased Resins,0.5669999718666077,0.181,72
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",0.5669999718666077,0.181,72
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.5669999718666077,0.181,72
482111,Line-Haul Railroads,0.5580000281333923,0.172,73
482112,Short Line Railroads,0.5580000281333923,0.172,73
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,0.5490000247955322,0.163,74
331221,Rolled Steel Shape Manufacturing,0.5490000247955322,0.163,74
331222,Steel Wire Drawing,0.5490000247955322,0.163,74
311920,Coffee and Tea Manufacturing,0.5490000247955322,0.163,74
311821,Cookie and Cracker Manufacturing,0.5479999780654907,0.162,75
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",0.5479999780654907,0.162,75
311830,Tortilla Manufacturing,0.5479999780654907,0.162,75
325320,Pesticide and Other Agricultural Chemical Manufacturing,0.546999990940094,0.161,76
311313,Beet Sugar Manufacturing,0.5429999828338623,0.157,77
311314,Cane Sugar Manufacturing,0.5429999828338623,0.157,77
311340,Nonchocolate Confectionery Manufacturing,0.5429999828338623,0.157,77
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,0.5429999828338623,0.157,77
311352,Confectionery Manufacturing from Purchased Chocolate,0.5429999828338623,0.157,77
331420,"Copper Rolling, Drawing, Extruding, and Alloying",0.5370000004768372,0.151,78
332811,Metal Heat Treating,0.5260000228881836,0.14,79
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",0.5260000228881836,0.14,79
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",0.5260000228881836,0.14,79
313210,Broadwoven Fabric Mills,0.5249999761581421,0.139,80
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,0.5249999761581421,0.139,80
313230,Nonwoven Fabric Mills,0.5249999761581421,0.139,80
313240,Knit Fabric Mills,0.5249999761581421,0.139,80
322220,Paper Bag and Coated and Treated Paper Manufacturing,0.5220000147819519,0.136,81
213111,Drilling Oil and Gas Wells,0.5189999938011169,0.133,82
311421,Fruit and Vegetable Canning,0.5180000066757202,0.132,83
311422,Specialty Canning,0.5180000066757202,0.132,83
311423,Dried and Dehydrated Food Manufacturing,0.5180000066757202,0.132,83
213112,Support Activities for Oil and Gas Operations,0.5099999904632568,0.124,84
213113,Support Activities for Coal Mining,0.5099999904632568,0.124,84
213114,Support Activities for Metal Mining,0.5099999904632568,0.124,84
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,0.5099999904632568,0.124,84
311911,Roasted Nuts and Peanut Butter Manufacturing,0.5009999871253967,0.115,85
311919,Other Snack Food Manufacturing,0.5009999871253967,0.115,85
111310,Orange Groves,0.5,0.114,86
111320,Citrus (except Orange) Groves,0.5,0.114,86
111331,Apple Orchards,0.5,0.114,86
111332,Grape Vineyards,0.5,0.114,86
111333,Strawberry Farming,0.5,0.114,86
111334,Berry (except Strawberry) Farming,0.5,0.114,86
111335,Tree Nut Farming,0.5,0.114,86
111336,Fruit and Tree Nut Combination Farming,0.5,0.114,86
111339,Other Noncitrus Fruit Farming,0.5,0.114,86
485111,Mixed Mode Transit Systems,0.49900001287460327,0.113,87
485112,Commuter Rail Systems,0.49900001287460327,0.113,87
485113,Bus and Other Motor Vehicle Transit Systems,0.49900001287460327,0.113,87
485119,Other Urban Transit Systems,0.49900001287460327,0.113,87
485210,Interurban and Rural Bus Transportation,0.49900001287460327,0.113,87
485310,Taxi Service,0.49900001287460327,0.113,87
485320,Limousine Service,0.49900001287460327,0.113,87
485410,School and Employee Bus Transportation,0.49900001287460327,0.113,87
485510,Charter Bus Industry,0.49900001287460327,0.113,87
485991,Special Needs Transportation,0.49900001287460327,0.113,87
485999,All Other Transit and Ground Passenger Transportation,0.49900001287460327,0.113,87
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",0.4970000088214874,0.111,88
327992,Ground or Treated Mineral and Earth Manufacturing,0.4959999918937683,0.11,89
335991,Carbon and Graphite Product Manufacturing,0.4950000047683716,0.109,90
327211,Flat Glass Manufacturing,0.49000000953674316,0.104,91
327212,Other Pressed and Blown Glass and Glassware Manufacturing,0.49000000953674316,0.104,91
327213,Glass Container Manufacturing,0.49000000953674316,0.104,91
327215,Glass Product Manufacturing Made of Purchased Glass,0.49000000953674316,0.104,91
322211,Corrugated and Solid Fiber Box Manufacturing,0.49000000953674316,0.104,91
322212,Folding Paperboard Box Manufacturing,0.49000000953674316,0.104,91
322219,Other Paperboard Container Manufacturing,0.49000000953674316,0.104,91
311230,Breakfast Cereal Manufacturing,0.48500001430511475,0.099,92
311111,Dog and Cat Food Manufacturing,0.4779999852180481,0.092,93
326291,Rubber Product Manufacturing for Mechanical Use,0.47099998593330383,0.085,94
326299,All Other Rubber Product Manufacturing,0.47099998593330383,0.085,94
325510,Paint and Coating Manufacturing,0.4690000116825104,0.083,95
322299,All Other Converted Paper Product Manufacturing,0.46299999952316284,0.077,96
313310,Textile and Fabric Finishing Mills,0.4519999921321869,0.066,97
313320,Fabric Coating Mills,0.4519999921321869,0.066,97
327993,Mineral Wool Manufacturing,0.44999998807907104,0.064,98
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",0.4490000009536743,0.063,99
311942,Spice and Extract Manufacturing,0.4490000009536743,0.063,99
311930,Flavoring Syrup and Concentrate Manufacturing,0.4480000138282776,0.062,100
312140,Distilleries,0.44600000977516174,0.06,101
331511,Iron Foundries,0.44600000977516174,0.06,101
331512,Steel Investment Foundries,0.44600000977516174,0.06,101
331513,Steel Foundries (except Investment),0.44600000977516174,0.06,101
335110,Electric Lamp Bulb and Part Manufacturing,0.4350000023841858,0.049,102
326121,Unlaminated Plastics Profile Shape Manufacturing,0.4339999854564667,0.048,103
326122,Plastics Pipe and Pipe Fitting Manufacturing,0.4339999854564667,0.048,103
326211,Tire Manufacturing (except Retreading),0.4300000071525574,0.044,104
326212,Tire Retreading,0.4300000071525574,0.044,104
322230,Stationery Product Manufacturing,0.4180000126361847,0.032,105
332420,Metal Tank (Heavy Gauge) Manufacturing,0.4169999957084656,0.031,106
336510,Railroad Rolling Stock Manufacturing,0.41499999165534973,0.029,107
322291,Sanitary Paper Product Manufacturing,0.41100001335144043,0.025,108
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",0.4059999883174896,0.02,109
325611,Soap and Other Detergent Manufacturing,0.4050000011920929,0.019,110
325612,Polish and Other Sanitation Good Manufacturing,0.4050000011920929,0.019,110
325613,Surface Active Agent Manufacturing,0.4050000011920929,0.019,110
326191,Plastics Plumbing Fixture Manufacturing,0.40299999713897705,0.017,111
326199,All Other Plastics Product Manufacturing,0.40299999713897705,0.017,111
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,0.39899998903274536,0.013,112
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",0.39800000190734863,0.012,113
327120,Clay Building Material and Refractories Manufacturing,0.39800000190734863,0.012,113
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",0.3959999978542328,0.01,114
336390,Other Motor Vehicle Parts Manufacturing,0.39500001072883606,0.009,115
336360,Motor Vehicle Seating and Interior Trim Manufacturing,0.39399999380111694,0.008,116
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,0.3919999897480011,0.006,117
336340,Motor Vehicle Brake System Manufacturing,0.3919999897480011,0.006,117
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,0.39100000262260437,0.005,118
312111,Soft Drink Manufacturing,0.3779999911785126,-0.008,119
312112,Bottled Water Manufacturing,0.3779999911785126,-0.008,119
312113,Ice Manufacturing,0.3779999911785126,-0.008,119
312120,Breweries,0.37700000405311584,-0.009,120
311710,Seafood Product Preparation and Packaging,0.37599998712539673,-0.01,121
332613,Spring Manufacturing,0.3720000088214874,-0.014,122
332618,Other Fabricated Wire Product Manufacturing,0.3720000088214874,-0.014,122
327331,Concrete Block and Brick Manufacturing,0.3709999918937683,-0.015,123
327332,Concrete Pipe Manufacturing,0.3709999918937683,-0.015,123
333511,Industrial Mold Manufacturing,0.36800000071525574,-0.018,124
332996,Fabricated Pipe and Pipe Fitting Manufacturing,0.36500000953674316,-0.021,125
327390,Other Concrete Product Manufacturing,0.36500000953674316,-0.021,125
335921,Fiber Optic Cable Manufacturing,0.35899999737739563,-0.027,126
335929,Other Communication and Energy Wire Manufacturing,0.35899999737739563,-0.027,126
237110,Water and Sewer Line and Related Structures Construction,0.3540000021457672,-0.032,127
237120,Oil and Gas Pipeline and Related Structures Construction,0.3540000021457672,-0.032,127
237130,Power and Communication Line and Related Structures Construction,0.3540000021457672,-0.032,127
531120,Lessors of Nonresidential Buildings (excpet Miniwarehouses),0.35100001096725464,-0.035,128
531130,Lessors of Miniwarehouses and Self-Storage Units,0.35100001096725464,-0.035,128
531190,Lessors of Other Real Estate Property,0.35100001096725464,-0.035,128
531210,Offices of Real Estate Agents and Brokers,0.35100001096725464,-0.035,128
531311,Residential Property Managers,0.35100001096725464,-0.035,128
531312,Nonresidential Property Managers,0.35100001096725464,-0.035,128
531320,Offices of Real Estate Appraisers,0.35100001096725464,-0.035,128
531390,Other Activities Related to Real Estate,0.35100001096725464,-0.035,128
332311,Prefabricated Metal Building and Component Manufacturing,0.3499999940395355,-0.036,129
332312,Fabricated Structural Metal Manufacturing,0.3499999940395355,-0.036,129
332313,Plate Work Manufacturing,0.3499999940395355,-0.036,129
326140,Polystyrene Foam Product Manufacturing,0.34700000286102295,-0.039,130
323111,Commercial Printing (except Screen and Books),0.34700000286102295,-0.039,130
323113,Commercial Screen Printing,0.34700000286102295,-0.039,130
323117,Books Printing,0.34700000286102295,-0.039,130
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,0.34599998593330383,-0.04,131
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",0.33899998664855957,-0.047,132
326220,Rubber and Plastics Hoses and Belting Manufacturing,0.33500000834465027,-0.051,133
332721,Precision Turned Product Manufacturing,0.3319999873638153,-0.054,134
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",0.3319999873638153,-0.054,134
212311,Dimension Stone Mining and Quarrying,0.3230000138282776,-0.063,135
212312,Crushed and Broken Limestone Mining and Quarrying,0.3230000138282776,-0.063,135
212313,Crushed and Broken Granite Mining and Quarrying,0.3230000138282776,-0.063,135
212319,Other Crushed and Broken Stone Mining and Quarrying,0.3230000138282776,-0.063,135
336112,Light Truck and Utility Vehicle Manufacturing,0.32199999690055847,-0.064,136
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,0.3199999928474426,-0.066,137
339950,Sign Manufacturing,0.3199999928474426,-0.066,137
333618,Other Engine Equipment Manufacturing,0.3179999887943268,-0.068,138
332710,Machine Shops,0.3140000104904175,-0.072,139
335911,Storage Battery Manufacturing,0.3140000104904175,-0.072,139
311811,Retail Bakeries,0.3140000104904175,-0.072,139
311812,Commercial Bakeries,0.3140000104904175,-0.072,139
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",0.3140000104904175,-0.072,139
713910,Golf Courses and Country Clubs,0.31200000643730164,-0.074,140
713920,Skiing Facilities,0.31200000643730164,-0.074,140
713930,Marinas,0.31200000643730164,-0.074,140
713940,Fitness and Recreational Sports Centers,0.31200000643730164,-0.074,140
713950,Bowling Centers,0.31200000643730164,-0.074,140
713990,All Other Amusement and Recreation Industries,0.31200000643730164,-0.074,140
236210,Industrial Building Construction,0.3100000023841858,-0.076,141
314110,Carpet and Rug Mills,0.30799999833106995,-0.078,142
336120,Heavy Duty Truck Manufacturing,0.3070000112056732,-0.079,143
337211,Wood Office Furniture Manufacturing,0.3050000071525574,-0.081,144
337212,Custom Architectural Woodwork and Millwork Manufacturing,0.3050000071525574,-0.081,144
337214,Office Furniture (except Wood) Manufacturing,0.3050000071525574,-0.081,144
333131,Mining Machinery and Equipment Manufacturing,0.3019999861717224,-0.084,145
333132,Oil and Gas Field Machinery and Equipment Manufacturing,0.3019999861717224,-0.084,145
113110,Timber Tract Operations,0.3009999990463257,-0.085,146
113210,Forest Nurseries and Gathering of Forest Products,0.3009999990463257,-0.085,146
113310,Logging,0.3009999990463257,-0.085,146
335210,Small Electrical Appliance Manufacturing,0.30000001192092896,-0.086,147
337127,Institutional Furniture Manufacturing,0.29899999499320984,-0.087,148
237310,"Highway, Street, and Bridge Construction",0.296999990940094,-0.089,149
327991,Cut Stone and Stone Product Manufacturing,0.29600000381469727,-0.09,150
